1A.1	#64B5F6
1A.1.1	#29B6F6
1A.1.1.1	#00BCD4
1A.1.1.2	#0097A7
1A.1.1.3	#2A97C9
1A.1.2	#00695C
1A.1.3	#004D40
1A.1.4	#311B92
1A.2	#3679ED
1A.3	#5E35B1
1A.3.1	#7E57C2
1A.3.2	#3F51B5
1A.3.3	#283593
1A.3.3.1	#01579B
1A.3.3.2	#C1C7FD
1A.3.3.3	#9DA5EC
1A.3.3.3-c1	#737DD7
1A.3.3.3-c2	#03A9F4
1A.3.3.3-c3	#5763CC
1A.3.3.4	#BA68C8
1A.4	#7E57CC
1A.5	#7B1FA2
1A.5.1	#880E4F
1A.5.2	#C2185B
1A.5.3	#E91E63
1B.1	#689F38
1B.1.1	#558B2F
1B.1.1.1	#388E3C
1B.1.1.2	#2E7D32
1B.1.1.3	#2E7D32
1B.1.2	#1B5E20
1B.1.2.1	#1B5E20
1B.1.2.2	#43A047
1B.1.2.3	#43A047
1B.2.1	#A7F18B
1B.2.2	#AFB42B
1B.2.2.1	#7CD95A
1B.2.2.2	#4EBE26
1B.2.3	#F9A825
1B.2.4	#FF8F00
1B.2.5	#F57F17
1B.2.6	#757575
1B.3	#FFB300
1C.1	#F4511E
1C.2	#D84315
1C.2.1	#E65100
1C.2.2	#F57C00
1C.2.3	#FF9800
1C.2.4	#FFB74D
1C.2.5	#8D6E63
1C.2.6	#5D4037
