"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","FIRST OF DEC","","STATE","ALASKA","02","","","","","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","1,500",""
"SURVEY","2023","FIRST OF DEC","","STATE","ALASKA","02","","","","","","","00000000","","HOGS","HOGS, BREEDING - INVENTORY","TOTAL","NOT SPECIFIED","400",""
"SURVEY","2023","FIRST OF DEC","","STATE","ARIZONA","04","","","","","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","109,000",""
"SURVEY","2023","FIRST OF DEC","","STATE","ARIZONA","04","","","","","","","00000000","","HOGS","HOGS, BREEDING - INVENTORY","TOTAL","NOT SPECIFIED","14,000",""
"SURVEY","2023","FIRST OF DEC","","STATE","ARKANSAS","05","","","","","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","134,000",""
"SURVEY","2023","FIRST OF DEC","","STATE","ARKANSAS","05","","","","","","","00000000","","HOGS","HOGS, BREEDING - INVENTORY","TOTAL","NOT SPECIFIED","43,000",""
"SURVEY","2023","FIRST OF DEC","","STATE","CALIFORNIA","06","","","","","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","39,000",""
"SURVEY","2023","FIRST OF DEC","","STATE","CALIFORNIA","06","","","","","","","00000000","","HOGS","HOGS, BREEDING - INVENTORY","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","2023","FIRST OF DEC","","STATE","COLORADO","08","","","","","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","600,000",""
"SURVEY","2023","FIRST OF DEC","","STATE","COLORADO","08","","","","","","","00000000","","HOGS","HOGS, BREEDING - INVENTORY","TOTAL","NOT SPECIFIED","140,000",""
"SURVEY","2023","FIRST OF DEC","","STATE","CONNECTICUT","09","","","","","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","2,600",""
