accession	barcode	segment_name	space	segment_subtype	clade	gl_clade
A/swine/Iowa/A02636342/2021	A02636342	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636449/2022	A02636449	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Indiana/A02636651/2022	A02636651	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/South_Dakota/A02636437/2022	A02636437	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750688/2022	A02750688	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Illinois/E64236/2022		HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750696/2022	A02750696	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02636628/2022	A02636628	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Indiana/A02750739/2022	A02750739	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750826/2022	A02750826	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750892/2022	A02750892	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Indiana/A02636638/2022	A02636638	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Indiana/A02636695/2022	A02636695	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Indiana/A02636526/2022	A02636526	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Oklahoma/A02711857/2022	A02711857	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Texas/A02711830/2022	A02711830	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Texas/A02711852/2022	A02711852	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636064/2021	A02636064	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02636440/2022	A02636440	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Illinois/A02636429/2022	A02636429	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02636420/2022	A02636420	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02750743/2022	A02750743	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02750733/2022	A02750733	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750767/2022	A02750767	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02750787/2022	A02750787	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750905/2022	A02750905	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636063/2021	A02636063	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636149/2021	A02636149	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636137/2021	A02636137	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02246978/2021	A02246978	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02248039/2021	A02248039	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636303/2021	A02636303	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02635715/2021	A02635715	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02635942/2021	A02635942	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02525349/2021	A02525349	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636361/2022	A02636361	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02711806/2022	A02711806	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02711813/2022	A02711813	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636682/2022	A02636682	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750827/2022	A02750827	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750682/2022	A02750682	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750699/2022	A02750699	HA		H1	gamma-c3	1A.3.3.3-c3
