accession	barcode	segment_name	space	segment_subtype	clade	gl_clade
A/swine/Iowa/A02751218/2022	A02751218	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861421/2023	A02861421	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861784/2023	A02861784	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751175/2022	A02751175	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02978436/2023	A02978436	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02978482/2023	A02978482	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A0978426/2023		HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02978475/2023	A02978475	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02861318/2023	A02861318	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751590/2023	A02751590	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02978452/2023	A02978452	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02978453/2023	A02978453	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02712157/2022	A02712157	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751163/2022	A02751163	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751316/2022	A02751316	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02712626/2022	A02712626	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/South_Dakota/A02751313/2022	A02751313	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Wyoming/A02711819/2022	A02711819	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/South_Dakota/A02711817/2022	A02711817	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861249/2023	A02861249	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750870/2022	A02750870	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750963/2022	A02750963	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750991/2022	A02750991	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/SouthDakota/G85022NW/2022		HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/SouthDakota/G85022OF/2022		HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Indiana/A02751278/2022	A02751278	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02978420/2023	A02978420	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02861314/2023	A02861314	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Wyoming/A02751541/2023	A02751541	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750976/2022	A02750976	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751110/2022	A02751110	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02711848/2022	A02711848	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02712639/2022	A02712639	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861228/2023	A02861228	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861551/2023	A02861551	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751008/2022	A02751008	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750998/2022	A02750998	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750939/2022	A02750939	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750999/2022	A02750999	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751063/2022	A02751063	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751442/2022	A02751442	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861547/2023	A02861547	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861644/2023	A02861644	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Oklahoma/A02861743/2023	A02861743	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Oklahoma/A02751474/2023	A02751474	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02861341/2023	A02861341	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861390/2023	A02861390	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02978528/2023	A02978528	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861248/2022	A02861248	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02861571/2023	A02861571	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861667/2023	A02861667	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02861293/2023	A02861293	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Kansas/A02978447/2023	A02978447	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02861791/2023	A02861791	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02861339/2023	A02861339	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Oklahoma/A02978423/2023	A02978423	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750782/2022	A02750782	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750934/2022	A02750934	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750889/2022	A02750889	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750975/2022	A02750975	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751064/2022	A02751064	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751386/2022	A02751386	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750962/2022	A02750962	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750647/2022	A02750647	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750885/2022	A02750885	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751109/2022	A02751109	HA		H1	gamma-c3	1A.3.3.3-c3
